id,name,followers,popularity,url,image
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,6542225,88,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1
6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,656598,70,https://open.spotify.com/artist/6aaMZ3fcfLv4tEbmY7bjRM,https://i.scdn.co/image/3d0d289d82edbfc2f889cfd5b766fc483dc25f4e
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,1887365,70,https://open.spotify.com/artist/19Fi1Rj7kk8kyiwxpXy3yM,https://i.scdn.co/image/14b140c8fe1bf87474ed2bd4bd514afca43fbc17
6AMa1VFQ7qCi61tCRtVWXe,Jim Jones,337586,60,https://open.spotify.com/artist/6AMa1VFQ7qCi61tCRtVWXe,https://i.scdn.co/image/10412f2e4d9cbeadf0d168806b283adf7b02ee09
4IVAbR2w4JJNJDDRFP3E83,6LACK,2105987,84,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83,https://i.scdn.co/image/b7b33aaeac1367b35d9c74a53fc9cfbd38f79fee
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,2976966,81,https://open.spotify.com/artist/5IcR3N7QB1j6KBL8eImZ8m,https://i.scdn.co/image/16e1c84dcb5ab6b682f113a048ed172ca3ca2ef6
1dqGS5sT6PE2wEvP1gROZC,Flatbush Zombies,804610,70,https://open.spotify.com/artist/1dqGS5sT6PE2wEvP1gROZC,https://i.scdn.co/image/e0e24916a77be69c4969dfeea06131eb78c322ac
67nwj3Y5sZQLl72VNUHEYE,Wale,2445637,80,https://open.spotify.com/artist/67nwj3Y5sZQLl72VNUHEYE,https://i.scdn.co/image/20a2669aad3e87270699534ed03546ff87b20df2
6G1yTgvoYsuVb2Ja8cVVJ2,anders,77411,66,https://open.spotify.com/artist/6G1yTgvoYsuVb2Ja8cVVJ2,https://i.scdn.co/image/95456176fb489a612e71e1cd0458f7b98be1900d
5gsyao2Qm21EKylbVIuRQ3,11:11,157701,57,https://open.spotify.com/artist/5gsyao2Qm21EKylbVIuRQ3,https://i.scdn.co/image/a8f22de7892b8cdc455706bd09827fbac869fc64
3jksrX4oBklxR78ft8gv3j,Plies,1042748,69,https://open.spotify.com/artist/3jksrX4oBklxR78ft8gv3j,https://i.scdn.co/image/336e8483ab962ecae9368c4d0e78dcb642c7e86a
4W49e48G0gg1pucAN6JiGH,Yo Trane,97438,61,https://open.spotify.com/artist/4W49e48G0gg1pucAN6JiGH,https://i.scdn.co/image/69b7a5977afced8cecb995360a1b169559368586
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,8818019,89,https://open.spotify.com/artist/137W8MRPWKqSmrBGDBFSop,https://i.scdn.co/image/d4fa8db4cbbafeca714b5501d173b78d54bd02d5
0YWxKQj2Go9CGHCp77UOyy,Fabolous,1455694,77,https://open.spotify.com/artist/0YWxKQj2Go9CGHCp77UOyy,https://i.scdn.co/image/6e1c2c7512e8432b4ef2f2fbeb80fdb3c8593ea8
20sxb77xiYeusSH8cVdatc,Meek Mill,3949420,88,https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc,https://i.scdn.co/image/2c9ec5abeb91b41b6fac18ec974c7a2b85319c5d
6dROiL44pIQZVNZ6Bc0OJO,Pleasure P,753004,60,https://open.spotify.com/artist/6dROiL44pIQZVNZ6Bc0OJO,https://i.scdn.co/image/244d1bb06296b19d5cd50bafe9b50f2a14877cd3
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,5946592,82,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,https://i.scdn.co/image/0ac898747b4ad4c4faf6025221a95266e04bf972
3s8alQfNnY0roAHaJh7Xxt,Dom Kennedy,316399,68,https://open.spotify.com/artist/3s8alQfNnY0roAHaJh7Xxt,https://i.scdn.co/image/80328fc6f46f813d5a9d09f30c962b9adc4fe0c6
4yBK75WVCQXej1p04GWqxH,Jeezy,1471694,76,https://open.spotify.com/artist/4yBK75WVCQXej1p04GWqxH,https://i.scdn.co/image/a3680728ef1c7497c99b55ac561a4b61ba12dd7b
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,10328843,91,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://i.scdn.co/image/1e9eeefb2c94579150fc37916e8319b975ec8a52
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,2294966,81,https://open.spotify.com/artist/5dHt1vcEm9qb8fCyLcB3HL,https://i.scdn.co/image/ea08ae0c9e60a0a416f18b02b35bb6591f62d171
45a6gCQWq61lIUDmr1tKuO,Bun B,504692,65,https://open.spotify.com/artist/45a6gCQWq61lIUDmr1tKuO,https://i.scdn.co/image/ffecc1334ae47af66883410d7bd7ff66cff5b4e0
6Uh8uJyN9g7oFjDK16nJgb,Juelz Santana,426856,68,https://open.spotify.com/artist/6Uh8uJyN9g7oFjDK16nJgb,https://i.scdn.co/image/3181f9da53d969400dc55574f2b227dc461d2e12
1RyvyyTE3xzB2ZywiAwp0i,Future,8400522,94,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,https://i.scdn.co/image/287c505d7b76d3971a8c5b2fbb3935f9b2dbc3ce
1W3FSF1BLpY3hlVIgvenLz,The-Dream,733538,72,https://open.spotify.com/artist/1W3FSF1BLpY3hlVIgvenLz,https://i.scdn.co/image/892f534bad4b46b99c4f7e277674fae647da379a
2I9SLklAOG0vdMiUUMNxRl,88GLAM,236885,70,https://open.spotify.com/artist/2I9SLklAOG0vdMiUUMNxRl,https://i.scdn.co/image/5a3832165bf056d68aea100d034ecf2d963ae206
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,1329504,78,https://open.spotify.com/artist/0EeQBlQJFiAfJeVN2vT9s0,https://i.scdn.co/image/2a53f9d4a36e958d54797aae6aee9645b547c9fd
7352aRY2mqSxBZwzUb6LmA,Bow Wow,729091,67,https://open.spotify.com/artist/7352aRY2mqSxBZwzUb6LmA,https://i.scdn.co/image/f67a804bc8323d2b5bf616926561a072649f15e4
0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,986905,74,https://open.spotify.com/artist/0NWbwDZY1VkRqFafuQm6wk,https://i.scdn.co/image/37778e4f9ef5a5fc4f745aaf4b5339df4ed0aa7c
